,routeNo,routeCd,routeNm,stptDstnc,edpntDstnc,totExtnsDstne,useYn
0,12,6120,(조회용)88올림픽선,86.1600,86.1600,0.280,N
1,255,2550,강진광주선,0.0000,51.1100,51.110,Y
2,1,0010,경부선,0.0000,416.0500,418.790,Y
3,120,1200,경인선,0.0000,23.8900,23.890,Y
4,253,2530,고창담양선,0.0000,42.5000,42.500,Y
5,,9990,공통,0.0000,0.0000,0.000,Y
6,12,0122,광주대구선,0.0000,176.2100,175.100,Y
7,12,0120,"광주대구선,무안광주선",0.0000,176.2100,174.820,Y
8,500,5000,광주외곽순환선,0.0000,10.3000,10.300,Y
9,52,0520,광주원주선,0.0000,56.9500,56.950,Y
10,45,0455,구구마선,0.0000,84.5000,84.500,N
11,65,0656,구동해선,17.8200,102.9100,85.090,N
12,29,0291,구리포천선,0.0000,44.6000,44.600,Y
13,451,4511,구마선의 지선,28.1000,30.6700,2.570,N
14,15,0155,구서해안선,0.2600,326.0899,325.000,N
15,50,0507,구영동선,41.7900,234.4000,192.610,N
16,55,0556,구중앙선,108.5800,387.1700,278.590,N
17,22,0220,김천영천선,0.0000,72.2000,72.200,N
18,22,0225,김천영천선(구 김천포항선),0.0000,0.0000,0.000,N
19,10,0100,남해선,0.0000,166.3300,166.330,Y
20,10,0105,남해선(구 내서냉정선),112.9200,146.7200,33.800,N
21,10,0102,남해선(순천부산),0.0000,166.3300,172.820,Y
22,10,0101,남해선(영암순천),0.0000,106.8400,106.840,Y
23,102,1020,남해제1지선,0.0000,17.8800,17.880,Y
24,104,1040,남해제2지선,0.0000,20.6000,20.600,Y
25,105,1050,남해제3지선(부산항신항선),0.0000,15.2600,15.260,Y
26,25,0252,논산천안선,194.2200,276.2600,82.040,Y
27,25,0250,"논산천안선,호남선",0.0000,194.2200,199.520,Y
28,30,0305,당진대전선,0.0000,91.5800,91.580,Y
29,30,0306,당진상주선(구 청원상주선),0.0000,79.4200,79.420,N
30,30,0300,당진영덕선,0.0000,79.4200,79.420,Y
31,55,0552,대구부산선,10.2000,92.2500,82.050,Y
32,700,7000,대구외곽순환선,0.0000,32.4000,32.400,Y
33,20,0207,대구포항선,0.0000,69.3700,69.370,Y
34,300,3000,대전남부순환선,0.0000,20.8000,18.960,Y
35,35,0356,대전통영선(구 대전진주선),47.8900,207.7300,159.840,N
36,35,0355,대전통영선(구 진주통영선),0.0000,47.8900,47.890,N
37,65,0650,동해선,0.0000,121.8000,122.050,Y
